"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password."
"Please enter your email.","Please enter your email."
"Your password reset link has expired.","Your password reset link has expired."
"New Password and Confirm New Password values didn't match.","New Password and Confirm New Password values didn't match."
"New password field cannot be empty.","New password field cannot be empty."
"Your password has been updated.","Your password has been updated."
"There was an error saving the new password.","There was an error saving the new password."
"A problem was encountered trying to change password.","A problem was encountered trying to change password."
"Confirm your new password","Confirm your new password"
"Invalid input","Invalid input"
"The account information has been saved.","The account information has been saved."
"The address has been saved.","The address has been saved."
"Cannot save address.","Cannot save address."
"The address has been deleted.","The address has been deleted."
"An error occurred while deleting the address.","An error occurred while deleting the address."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"New Group","New Group"
"New Customer Groups","New Customer Groups"
"Edit Group","Edit Group"
"Edit Customer Groups","Edit Customer Groups"
"The customer group has been saved.","The customer group has been saved."
"The customer group has been deleted.","The customer group has been deleted."
"The customer group no longer exists.","The customer group no longer exists."
"Manage Customers","Manage Customers"
"An error occurred while editing the customer.","An error occurred while editing the customer."
"You saved the customer.","You saved the customer."
"An error occurred while saving the customer.","An error occurred while saving the customer."
"Customer will receive an email with a link to reset password.","Customer will receive an email with a link to reset password."
"An error occurred while resetting customer password.","An error occurred while resetting customer password."
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"Please select customer(s).","Please select customer(s)."
"No wishlist item ID is defined.","No wishlist item ID is defined."
"Please load the wish list item.","Please load the wish list item."
"PHP SOAP extension is required.","PHP SOAP extension is required."
"Please enter the first name.","Please enter the first name."
"Please enter the last name.","Please enter the last name."
"Please enter the street.","Please enter the street."
"Please enter the city.","Please enter the city."
"Please enter the telephone number.","Please enter the telephone number."
"Please enter the zip/postal code.","Please enter the zip/postal code."
"Please enter the country.","Please enter the country."
"Please enter the state/province.","Please enter the state/province."
"Per Website","Per Website"
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged."
"This account is not confirmed.","This account is not confirmed."
"Wrong transactional account email type","Wrong transactional account email type"
"The first name cannot be empty.","The first name cannot be empty."
"The last name cannot be empty.","The last name cannot be empty."
"Please correct this email address: ""%1"".","Please correct this email address: ""%1""."
"The Date of Birth is required.","The Date of Birth is required."
"The TAX/VAT number is required.","The TAX/VAT number is required."
"Gender is required.","Gender is required."
"Invalid password reset token.","Invalid password reset token."
"The password must have at least %1 characters.","The password must have at least %1 characters."
"The password can not begin or end with a space.","The password can not begin or end with a space."
Admin,Admin
"Attribute object is undefined","Attribute object is undefined"
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contains non-alphabetic or non-numeric characters."
"""%1"" is an empty string.","""%1"" is an empty string."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" is not a valid email address.","""%1"" is not a valid email address."
"""%1"" is not a valid hostname.","""%1"" is not a valid hostname."
"""%1"" exceeds the allowed length.","""%1"" exceeds the allowed length."
"'%value%' appears to be an IP address, but IP addresses are not allowed.","'%value%' appears to be an IP address, but IP addresses are not allowed."
"'%value%' appears to be a DNS hostname but cannot match TLD against known list.","'%value%' appears to be a DNS hostname but cannot match TLD against known list."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position.","'%value%' appears to be a DNS hostname but contains a dash in an invalid position."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'.","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'."
"'%value%' appears to be a DNS hostname but cannot extract TLD part.","'%value%' appears to be a DNS hostname but cannot extract TLD part."
"'%value%' does not appear to be a valid local network name.","'%value%' does not appear to be a valid local network name."
"'%value%' appears to be a local network name but local network names are not allowed.","'%value%' appears to be a local network name but local network names are not allowed."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" is not a valid URL."
"""%1"" is not a valid date.","""%1"" is not a valid date."
"""%1"" does not fit the entered date format.","""%1"" does not fit the entered date format."
"""%1"" is a required value.","""%1"" is a required value."
"Please enter a valid date between %1 and %2 at %3.","Please enter a valid date between %1 and %2 at %3."
"Please enter a valid date equal to or greater than %1 at %2.","Please enter a valid date equal to or greater than %1 at %2."
"Please enter a valid date less than or equal to %1 at %2.","Please enter a valid date less than or equal to %1 at %2."
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" is not a valid file."
"""%1"" exceeds the allowed file size.","""%1"" exceeds the allowed file size."
"""%1"" is not a valid image format.","""%1"" is not a valid image format."
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" length must be equal or greater than %2 characters."
"""%1"" length must be equal or less than %2 characters.","""%1"" length must be equal or less than %2 characters."
"Customer email is required","Customer email is required"
"Customer with the same email already exists in associated website.","Customer with the same email already exists in associated website."
"Customer website ID must be specified when using the website scope","Customer website ID must be specified when using the website scope"
"The group ""%1"" cannot be deleted","The group ""%1"" cannot be deleted"
"Password doesn't match for this account.","Password doesn't match for this account."
"Customer Group already exists.","Customer Group already exists."
"VAT Number is Invalid","VAT Number is Invalid"
"VAT Number is Valid","VAT Number is Valid"
"Customer Addresses","Customer Addresses"
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
"Set as Default Billing Address","Set as Default Billing Address"
"Default Billing Address","Default Billing Address"
"Set as Default Shipping Address","Set as Default Shipping Address"
"Default Shipping Address","Default Shipping Address"
"New Customer Address","New Customer Address"
"Last Logged In:","Last Logged In:"
"Last Logged In (%1):","Last Logged In (%1):"
"Confirmed email:","Confirmed email:"
"Account Created on:","Account Created on:"
"Account Created on (%1):","Account Created on (%1):"
"Account Created in:","Account Created in:"
"Customer Group:","Customer Group:"
"Sales Statistics","Sales Statistics"
"Average Sale","Average Sale"
"Manage Addresses","Manage Addresses"
"Hello, %1!","Hello, %1!"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Change Password","Change Password"
Newsletters,Newsletters
"You are currently subscribed to 'General Subscription'.","You are currently subscribed to 'General Subscription'."
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Addresses","Default Addresses"
"Change Billing Address","Change Billing Address"
"You have no default billing address in your address book.","You have no default billing address in your address book."
"Change Shipping Address","Change Shipping Address"
"You have no default shipping address in your address book.","You have no default shipping address in your address book."
"Additional Address Entries","Additional Address Entries"
"You have no additional address entries in your address book.","You have no additional address entries in your address book."
"Use as my default billing address","Use as my default billing address"
"Use as my default shipping address","Use as my default shipping address"
"Save Address","Save Address"
"Go back","Go back"
"Please enter your email below and we will send you the confirmation link for it.","Please enter your email below and we will send you the confirmation link for it."
"Send confirmation link","Send confirmation link"
"Back to Login","Back to Login"
"Current Password","Current Password"
"Confirm New Password","Confirm New Password"
"Please enter your email address below. You will receive a link to reset your password.","Please enter your email address below. You will receive a link to reset your password."
"Registered Customers","Registered Customers"
"If you have an account with us, log in using your email address.","If you have an account with us, log in using your email address."
"Subscription option","Subscription option"
"General Subscription","General Subscription"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Address Information","Address Information"
"Login Information","Login Information"
"Create account","Create account"
"Reset a Password","Reset a Password"
"You have logged out and will be redirected to our homepage in 5 seconds.","You have logged out and will be redirected to our homepage in 5 seconds."
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Date of Birth","Date of Birth"
DD,DD
MM,MM
YYYY,YYYY
Gender,Gender
"Tax/VAT number","Tax/VAT number"
"Subscribe to Newsletter","Subscribe to Newsletter"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Please enter a number 1 or greater in this field.","Please enter a number 1 or greater in this field."
"Email Sender","Email Sender"
"Customer Configuration","Customer Configuration"
"Account Sharing Options","Account Sharing Options"
"Share Customer Accounts","Share Customer Accounts"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Create New Account Options","Create New Account Options"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","To show VAT number on frontend, set Show VAT Number on Frontend option to Yes."
"Tax Calculation Based On","Tax Calculation Based On"
"Default Group","Default Group"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","Validate on Each Transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Frontend","Show VAT Number on Frontend"
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Default Welcome Email"
"Require Emails Confirmation","Require Emails Confirmation"
"Confirmation Link Email","Confirmation Link Email"
"Welcome Email","Welcome Email"
"This email will be sent instead of default welcome email, after account confirmation.","This email will be sent instead of default welcome email, after account confirmation."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","Password Options"
"Forgot Email Template","Forgot Email Template"
"Remind Email Template","Remind Email Template"
"Reset Password Template","Reset Password Template"
"Password Template Email Sender","Password Template Email Sender"
"Name and Address Options","Name and Address Options"
"Number of Lines in a Street Address","Number of Lines in a Street Address"
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Show Prefix","Show Prefix"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"Prefix Dropdown Options","Prefix Dropdown Options"
"
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    ","
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    "
"Show Middle Name (initial)","Show Middle Name (initial)"
"Always optional.","Always optional."
"Show Suffix","Show Suffix"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Show Date of Birth","Show Date of Birth"
"Show Tax/VAT Number","Show Tax/VAT Number"
"Show Gender","Show Gender"
"Login Options","Login Options"
"Redirect Customer to Account Dashboard after Logging in","Redirect Customer to Account Dashboard after Logging in"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Address Templates","Address Templates"
Group,Group
"Are you sure you want to delete?","Are you sure you want to delete?"
"Unsubscribe from Newsletter","Unsubscribe from Newsletter"
"Assign a Customer Group","Assign a Customer Group"
Phone,Phone
ZIP,ZIP
"Customer Since","Customer Since"
n/a,n/a
"Session Start Time","Session Start Time"
"Last Activity","Last Activity"
"Last URL","Last URL"
"Edit Account Information","Edit Account Information"
"Forgot Your Password","Forgot Your Password"
"Password forgotten","Password forgotten"
"My Dashboard","My Dashboard"
"You are now logged out","You are now logged out"
"All Customers","All Customers"
"Now Online","Now Online"
"Associate to Website","Associate to Website"
Prefix,Prefix
"Middle Name/Initial","Middle Name/Initial"
Suffix,Suffix
"Date Of Birth","Date Of Birth"
"Tax/VAT Number","Tax/VAT Number"
"Send Welcome Email From","Send Welcome Email From"
"Disable Automatic Group Change Based on VAT ID","Disable Automatic Group Change Based on VAT ID"
"Images and Videos","Images and Videos"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Show VAT Number on Storefront","Show VAT Number on Storefront"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes."
"Default Welcome Email Without Password","Default Welcome Email Without Password"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password.","This email will be sent instead of the Default Welcome Email, if a customer was created without password."
"This email will be sent instead of the Default Welcome Email, after account confirmation.","This email will be sent instead of the Default Welcome Email, after account confirmation."
"New Addresses","New Addresses"
"Add New Addresses","Add New Addresses"
"Confirmed email","Confirmed email"
"Account Created in","Account Created in"
"Tax VAT Number","Tax VAT Number"
