"%s","%s"
"%s already exist.","%s existieren bereits."
"%s already exists.","%s existiert bereits."
"-- Please Select --","-- Bitte auswählen --"
"File with an extension ""%value%"" is protected and cannot be uploaded","Dateien mit der Endung ""%value%"" sind geschützt und können nicht hochgeladen werden"
"First Day of Week","Erster Wochentag"
"Flush Cache Storage","Cache Storage entleeren"
"Flush Magento Cache","Magento-Cache leeren"
"Footer","Fußzeile"
"Forgot Password Email Sender","E-Mail-Absender für vergessenes Passwort"
"Forgot Password Email Template","Passwort vergessen E-Mail Template"
"General","Allgemein"
"General Contact","Allgemeiner Kontakt"
"General Contact Email","Allgemeine Kontakt-E-Mail"
"General Contact Name","Allgemeiner Kontaktname"
"General Settings","Allgemeine Einstellungen"
"Global","Weltweit"
"HTML Head","HTML Kopf"
"HTML tags are not allowed","HTML-Tags nicht zulässig"
"Header","Kopfzeile"
"Host","Host"
"How many links to display at once.","Wie viele Links sind auf einmal anzuzeigen."
"ID Path for Specified Store","ID Pfad für spezifizierten Shop"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Falls die aktuelle Frame Position nicht die äußerste Seite abdeckt, wird der Link zur aktuellen Position plus/minus diesen Wert gerendert."
"Incorrect credit card expiration date.","Falsches Verfallsdatum der Kreditkarte"
"Input type ""%value%"" not found in the input types list.","Eingabetyp ""%value%"" wurde nicht in der Liste der Eingabetypen gefunden."
"Invalid base url type","Ungültiger Base URL Typ"
"Invalid block name to set child %s: %s","Ungültiger Blockname zum Child gesetzt: %s: %s"
"Invalid block type: %s","Ungültiger Blocktyp: %s"
"Invalid block: %s","Ungültiger Block: %s"
"Invalid connection","Ungültige Verknüpfung"
"Invalid layout update handle","Ungültiger Layout Update Identifikator"
"Invalid messages storage ""%s"" for layout messages initialization","Ungültiger Nachrichtenspeicher ""%s"" für die Initialisierung der Layout-Nachrichten"
"Invalid query","Ungültige Anfrage"
"Invalid transactional email code: ","Ungültiger Transaktionsmailcode:"
"Invalid website\'s configuration path: %s","Ungültiger Webseitenkonfigurationspfad: %s"
"JavaScript Settings","JavaScript Einstellungen"
"Layout","Layout"
"Leave empty for access from any location.","Leer lassen für den Zugriff von jedem Standort aus."
"List of stores","Liste der Speicherorte"
"Locale","Sprachumgebung"
"Locale Options","locale Einstellungen"
"Log Settings","Log-Einstellungen"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging von Mage::log() befindet sich in {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging von Mage:: logException (). Die Datei befinden sich in {{base_dir}}/var/log"
"Login is Case Sensitive","Login ist Case Sensitive"
"Logo Image","Logobild"
"Logo Image Alt","Logo Alt"
"Logo Image Src","Bildquelle für Logo"
"Mail Sending Settings","Sendeeinstellungen in Mail"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Stellen Sie sicher, dass Basis-URL endet mit '/' (Slash), z. B. http://yourdomain/magento"
"Manage Stores","Stores verwalten"
"Match expressions in the same order as displayed in the configuration.","Passende Ausdrücke in der gleichen Reihenfolge wie in der Konfiguration angezeigt."
"Media Storage","Medienspeicher"
"Merge CSS Files","CSS-Dateien zusammenlegen"
"Merge JavaScript Files","Merge JavaScript-Dateien"
"Miscellaneous HTML","Diverses HTML"
"Miscellaneous Scripts","Verschiedene Scripts"
"Model class does not exist: %s.","Modell-Klasse existiert nicht: %s."
"Model collection resource name is not defined.","Modell-Erfassung Quelle-Name ist nicht definiert."
"Module ""%1$s"" cannot depend on ""%2$s"".","Modul ""%1$s"" kann nicht von ""%2$s"" abhängig sein."
"Module ""%1$s"" requires module ""%2$s"".","Modul ""%1$s"" benötigt das Modul ""%2$s""."
"Name","Name"
"New Design Change","Neue Designänderung"
"New Store","Neuer Shop"
"New Store View","Neue Filiale Ansicht"
"New Website","Neue Webpräsenz"
"No","Nein"
"Offloader header","Offloader Titelzeile"
"PHP SOAP extension is required.","PHP SOAP-Erweiterung erforderlich."
"Package","Paket"
"Pagination","Seiteneinteilung"
"Pagination Frame","Seitennummerierungs-Frame"
"Pagination Frame Skip","Seitennummerierung Frame Weiter"
"Parent directory does not exist: %s","Übergeordnetes Verzeichnis existiert nicht: %s"
"Path ""%value%"" is not available and cannot be used.","Der Pfad ""%value%"" ist nicht verfügbar und kann nicht verwendet werden."
"Path ""%value%"" is protected and cannot be used.","Der Pfad ""%value%"" ist geschützt und kann nicht verwendet werden."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Der Pfad ""%value%"" darf keinen Verweis auf das übergeordnete Verzeichnis enthalten (""../"", ""..\)."
"Please define flag code.","Bitte definieren Sie Flag-Code."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Bitte geben Sie 6 oder mehr Zeichen ein. Leerzeichen am Anfang oder Ende werden ignoriert."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Bitte geben Sie 7 oder mehr Zeichen ein. Ihr Passwort sollte sowohl Zahlen als auch Buchstaben enthalten."
"Please enter a number 0 or greater in this field.","Bitte geben Sie eine Zahl in das Feld ein, die 0 oder größer ist."
"Please enter a number 1 or greater in this field.","Bitte geben sie hier eine Zahl ein, die mindestens 1 beträgt."
"Please enter a number greater than 0 in this field.","Bitte geben Sie in diesem Feld eine Zahl ein, die größer als 0 ist."
"Please enter a number lower than 100.","Bitte geben Sie eine Zahl unter 100 ein."
"Please enter a valid $ amount. For example $100.00.","Bitte geben Sie einen gültigen Betrag in US-Dollar ein. Zum Beispiel 100,00 US-Dollar."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Bitte geben Sie einen gültigen URL-Schlüssel an. Zum Beispiel ""beispiel-seite"", ""beispiel-seite.html"" oder ""andereebene/beispiel-seite""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Bitte geben Sie eine gültige URL ein, z.B. http://www.beispiel.com oder www.beispiel.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Bitte geben Sie eine gültige URL mit dem dazugehörigen Protokoll (http://, https:// oder ftp://) an."
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Bitte geben Sie einen gültigen XML-Identifier an. Zum Beispiel irgendwas_1, block5, id-4."
"Please enter a valid credit card number.","Bitte geben Sie eine gültige Kreditkartennummer ein."
"Please enter a valid credit card verification number.","Bitte geben Sie eine gültige Kreditkarten-Überprüfungsnummer ein."
"Please enter a valid date between %s and %s","Bitte geben Sie ein gültiges Datum zwischen %s und %s an."
"Please enter a valid date equal to or greater than %s","Bitte geben Sie ein gültiges Datum gleich oder größer als %s an."
"Please enter a valid date less than or equal to %s","Bitte geben Sie ein gültiges Datum kleiner oder gleich %s an."
"Please enter a valid date.","Bitte geben Sie ein gültiges Datum ein."
"Please enter a valid day (1-%d).","Bitte geben Sie einen gültigen Tag ein (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Bitte geben Sie eine gültige E-Mail Adresse ein. Zum Beispiel johndoe@domain.com"
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Bitte geben Sie eine gültige Faxnummer an. Zum Beispiel (123) 456-7890 oder 123-456-7890."
"Please enter a valid full date","Bitte geben Sie ein vollständiges, gültiges Datum an."
"Please enter a valid month (1-12).","Bitte geben Sie einen gültigen Monat an (1-12)."
"Please enter a valid number in this field.","Bitte geben Sie in dieses Feld eine gültige Nummer ein."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Bitte geben Sie eine gültige Telefonnummer ein. Zum Beispiel (123)456-7890 oder 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Bitte geben Sie eine gültige Sozialversicherungsnummer ein. Zum Beispiel 123-45-6789."
"Please enter a valid year (1900-%d).","Bitte geben Sie ein gültiges Jahr an (1900-%d)."
"Please enter a valid zip code.","Bitte geben Sie eine gültige Postleitzahl ein."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Bitte geben Sie eine gültige Postleitzahl ein. Zum Beispiel 90602 oder 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Bitte geben Sie Ihre Ausgabenummer oder das Erstellungsdatum Ihrer EC-/Debitkarte an."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Bitte geben Sie eine gültige CSS-Länge an. Zum Beispiel 100px oder 77pt oder 20em oder .5ex oder 50%."
"Please make sure your passwords match.","Bitte stellen Sie sicher, dass Ihre Passwörter übereinstimmen."
"Please select State/Province.","Wählen Sie bitte Staat/Bundesland aus."
"Please select a file","Wählen Sie bitte eine Datei aus"
"Please select an option.","Bitte wählen Sie eine Option."
"Please select one of the above options.","Wählen Sie bitte eine der obigen Optionen aus."
"Please select one of the options.","Bitte wählen Sie eine Option."
"Please set available and/or protected paths list(s) before validation.","Bitte stellen Sie vor der Bestätigung die Liste(n) der verfügbaren und/oder geschützten Pfade ein."
"Please specify either a category or a product, or both.","Bitte geben Sie eine Kategorie oder ein Produkt oder beides an."
"Please use letters only (a-z or A-Z) in this field.","Bitte verwenden Sie ausschließlich Buchstaben (a-z oder A-Z) in diesem Feld."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Bitte verwenden Sie in diesem Feld nur Zahlen. Vermeiden Sie bitte Leerzeichen und andere Zeichen, wie Punkt oder Komma."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Bitte verwenden Sie nur Buchstaben (a-z oder A-Z) oder Zahlen (0-9) in diesem Feld. Leerzeichen oder andere Zeichen sind nicht erlaubt."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Bitte verwenden Sie nur Buchstaben (a-z oder A-Z) oder Zahlen (0-9) oder Leerzeichen und Rauten (#) in diesem Feld."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Geben Sie in dieses Feld bitte nur Buchstaben (a-z oder A-Z), Ziffern (0-9) oder Unterstreichungszeichen(_) ein; als erstes Zeichen ist nur ein Buchstabe erlaubt."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Bitte geben Sie in dieses Feld nur Buchstaben (a-z), Ziffern (0-9) oder Unterstriche (_) ein, das erste Zeichen sollte ein Buchstabe sein."
"Please use only visible characters and spaces.","Bitte verwenden Sie nur lesbare Zeichen und Leerzeichen."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Bitte verwenden Sie nur dieses Datumsformat: tt/mm/jjjj. Zum Beispiel 17/03/2006 für den 17. März 2006."
"Please wait, loading...","Bitte warten, lädt..."
"Polls","Umfragen"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Recovery Link Expiration Period (days)","Verbleibende Gültigkeitsdauer des Wiederherstellungslinks (Tage)"
"Request Path for Specified Store","Aufrufpfad für angegebenen Shop"
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Die angefragte Datei darf keinen Verweis auf ein übergeordnetes Verzeichnis enthalten (""../"", ""..\notation"")"
"Requested invalid store ""%s""","Ungültiger Speicher ""%s"" angefragt"
"Resource is not set.","Ressource ist nicht gesetzt."
"Retrieve store data","Gespeicherte Daten zurückholen"
"Retrieve store list","Liste der Speicherorte abrufen"
"Return-Path Email","Antwortpfad E-Mail"
"Root Category","Hauptkategorie"
"Sales Representative","Verkaufsmitarbeiter"
"Sales Representative Contact Email","Verkaufsvertreter Kontakt-E-Mail"
"Sales Representative Contact Name","Verkaufsvertreter Kontaktname"
"Save","Speichern"
"Save Store","Shop speichern"
"Save Store View","Shopansicht speichern"
"Save Website","Website speichern"
"Search Engines Optimization","Suchmaschinenoptimierung"
"Secure","Sicher"
"Security","Sicherheit"
"Select Date","Datum selektieren"
"Select Media Database","Wählen Sie die Media Datenbank"
"Sender Email","Absender E-Mail"
"Sender Name","Name des Absenders"
"Services","Services"
"Session Cookie Management","Session-Cookie-Management"
"Session Lifetime (seconds)","Session-Lebenszeit (Sekunden)"
"Session Validation Settings","Einstellungen für die Gültigkeit der Session"
"Set Return-Path","Antwortpfad setzen"
"Set as Default","Als Standard festlegen"
"Skin (Images / CSS)","Skin (Bilder / CSS)"
"Sort Order","Sortierfolge"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Angegebes Datum/Uhrzeit ""%1$s"" entspricht nicht dem Format ""%2$s""."
"Start date cannot be greater than end date.","Das Anfangsdatum darf nicht nach dem Enddatum liegen."
"Startup Page","Startseite"
"Status","Status"
"Storage Configuration for Media","Speicherkonfiguration für Media"
"Store","Shop"
"Store API","Speicher-API"
"Store Contact Address","Store Kontaktadresse"
"Store Contact Information","Store Kontaktdaten"
"Store Contact Telephone","Store Telefon"
"Store Email Addresses","Store E-Mail-Adressen"
"Store Information","Store Information"
"Store Name","Store Name"
"Store View","Store-Ansicht"
"Store View Information","StoreView Information"
"Store View Name","Name der Shop-View"
"Store view doesn't exist","StoreView existiert nicht"
"Store with the same code","Store mit identischem Identifikationscode"
"System","System"
"System Log File Name","Name der Systemprotokolldatei"
"Template Path Hints","Anleitungen für den Vorlagenpfad"
"Template Settings","Template-Einstellungen"
"Template Variables","Vorlagenvariablen"
"Templates","Vorlagen"
"Text length does not satisfy specified text range.","Textlänge entspricht nicht dem angegebenen Textbereich."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Das von Ihnen angegebene %s ist ungültig. Bitte stellen Sie sicher, dass Ihre Eingabe dem ""http://domain.com/""-Format entspricht."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Der Store-Code darf nur Buchstaben (a-z), Ziffern (0-9) oder Unterstriche(_) umfassen, das erste Zeichen muss ein Buchstabe sein"
"The store does not exist","Der Shop existiert nicht."
"The store has been deleted.","Der Store wurde gelöscht."
"The store has been saved.","Der Shop wurde gespeichert."
"The store view has been deleted.","Die Store-Ansicht wurde gelöscht."
"The store view has been saved","Die Store-Ansicht wurde gespeichert"
"The template Name must not be empty.","Der Vorlagenname darf nicht leer bleiben."
"The value is not within the specified range.","Der Wert liegt nicht im angegebenen Bereich."
"The website does not exist.","Die Website ist nicht vorhanden."
"The website has been deleted.","Die Website wurde gelöscht."
"The website has been saved.","Die Website wurde gespeichert."
"Themes","Themes"
"This category and all its child elements","Diese Kategorie und alle Kindelemente"
"This category and its child categories only","Diese Kategorie und nur ihre Unterkategorien"
"This category and its products only","Nur diese Kategorie und ihre Produkte"
"This category only","Nur diese Kategorie"
"This date is a required value.","Dieses Datum ist ein benötigter Wert."
"This is a required field.","Dies ist ein Pflichtfeld."
"This store cannot be deleted.","Dieser Store kann nicht gelöscht werden."
"This store view cannot be deleted.","Diese StoreView kann nicht gelöscht werden."
"This website cannot be deleted.","Diese Website kann nicht gelöscht werden."
"This will be displayed just before body closing tag.","Dies wird vor dem schließenden Body-Tag ausgegeben."
"This will be included before head closing tag in page HTML.","Dieses wird vor dem schließenden Head-Tag im HTML der Seite eingefügt."
"Timezone","Zeitzone"
"Title Prefix","Titel Prefix"
"Title Suffix","Endung für den Titel"
"Transactional Emails","Transaktions-E-Mails"
"Translate Inline","Inline übersetzen"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Übersetzen, Blöcke und andere Ausgangs-Caches sollten sowohl für Frontend und Admin-Inline-Übersetzungen deaktiviert werden."
"Translations","Übersetzungen"
"Two and more slashes together are not permitted in request path","Zwei und mehr zusammenhängende Schrägstriche sind in diesem Pfad nicht zulässig"
"Two and more slashes together are not permitted in url rewrite suffix","Zwei und mehr zusammenhängende Schrägstriche sind im URL-Rewrite-Suffix nicht zulässig"
"Unable to create directory: %s","Verzeichnis kann nicht angelegt werden: %s"
"Unable to delete store view. Please, try again later.","Dieser StoreView kann nicht gelöscht werden. Versuchen Sie es später noch einmal."
"Unable to delete store. Please, try again later.","Shop kann nicht gelöscht werden. Bitte versuchen Sie es später noch einmal."
"Unable to delete website. Please, try again later.","Webseite konnte nicht gelöscht werden. Bitte versuchen Sie es später noch einmal."
"Unable to proceed. Please, try again","Funktion kann nicht ausgeführt werden. Bitte versuchen Sie es noch einmal."
"Unable to proceed. Please, try again.","Vorgang konnte nicht ausgeführt werden. Bitte versuchen Sie es später noch einmal."
"Unable to save file ""%s"" at ""%s""","Datei ""%s"" kann nicht unter ""%s"" gespeichert werden."
"Unable to save file: %s","Datei kann nicht gespeichert werden: %s"
"Unknown old style column type definition: {$definition}.","Unbekannte Definition des Spaltentyps im alten Stil: {definition}."
"Unknown scope ""%s"".","Unbekannter Anwendungsbereich ""%s""."
"Unsecure","Ungesichert"
"Url Options","URL Optionen"
"Use Custom Admin Path","Verwenden Sie den angepassten Admin-Pfad"
"Use Custom Admin URL","Individuelle Admin URL nutzen"
"Use HTTP Only","Verwende nur HTTP"
"Use SID on Frontend","Verwende Session-ID (SID) im Shopbereich"
"Use Secure URLs in Admin","Verwende sichere URL im Administrationsbereich"
"Use Secure URLs in Frontend","Verwende sichere URL im Shopbereich"
"Use Web Server Rewrites","Webserver Rewrites verwenden"
"VAT Number","MwSt.-Nummer"
"Validate HTTP_USER_AGENT","Überprüfe HTTP_USER_AGENT"
"Validate HTTP_VIA","Überprüfe HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Überprüfe HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","REMOTE_ADDR validieren"
"Validation has failed.","Prüfung fehlgeschlagen."
"Values less than 60 are ignored. Note that changes will apply after logout.","Werte kleiner als 60 werden ignoriert. Beachten Sie, dass die Änderungen nach dem Abmelden wirksam werden."
"Variable Code must be unique.","Variabler Code muß eindeutig sein."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Warnung! Die Aktivierung dieser Funktion ist im Arbeitsbereich nicht empfohlen, da sie ein potenzielles Sicherheitsrisiko darstellt."
"Web","Web"
"Website","Website"
"Website Information","Webseiten-Information"
"Website Name","Webseiten-Name"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Der Website-Code darf nur Buchstaben (a-z), Zahlen (0-9) oder Unterstrich (_) enthalten, das erste Zeichen muss ein Buchstabe sein."
"Website with the same code","Webseite mit identischem Identifikationscode"
"Weekend Days","Wochenende"
"Welcome Text","Willkommenstext"
"Wrong file info format","Falsches Format Dateiinfo"
"Wrong number of arguments for %s","Falsche Anzahl von Argumenten für %s"
"Wrong old style column type definition: {$definition}.","Falsche Spaltenartdefinition alter Art: {$definition}."
"Yes","Ja"
"You will have to log in after you save your custom admin path.","Nachdem Sie Ihren angepassten Admin-Pfad gespeichert haben, müssen Sie einloggen."
"Your design change for the specified store intersects with another one, please specify another date range.","Ihre Design-Änderung für den ausgewählten Store überschneidet sich mit einer anderen, bitte wählen Sie einen anderen Zeitraum."
"database ""%s""","Datenbank ""%s"""
